boro,budgetline,type,description,fy17cn,fy17cx,fy17f,fy17s,fy17p,fy17total
bronx,HD-XN868,HD,"HOUSING PARTNERSHIP CORP. - SOUND VIEW HOMEOWNERSHIP PHASE III",0,,,,,0
bronx,HD-XN869,HD,"LA CENTRAL MANAGEMENT - 675 BROOK AVENUE",0,,,,,0
bronx,HD-XN870,HD,"PROMESA - 915 WESTCHESTER AVENUE",0,,,,,0
bronx,HD-XN872,HD,"SAGE     773 CROTONA PARK NORTH",0,,,,,0
bronx,HD-XN873,HD,"SETTLEMENT HSG. FUND 4487-4507 & 4439 3RD AVENUE",0,,,,,0
bronx,HD-XN875,HD,"WHEDCO     435 EAST 162ND STREET",0,,,,,0
bronx,HD-XN883,HD,"BRONX TOWERS INC",0,,,,,0
bronx,HD-XN884,HD,"CANNON HEIGHTS, INC",0,,,,,0
bronx,HD-XN885,HD,"SETTLEMENT HOUSING FUND INC./ ST. BARNABAS 4487-4507 4439 3RD AVENUE",0,,,,,0
bronx,HD-XN925,HD,"DREAMYARD 3365 THIRD AVENUE HOUSING DEVELOPMENT FUND CORPORATION",450000,,,,,450000
bronx,HD-XN926,HD,"NEW YORK INSTITUTE FOR HUMAN DEVELOPMENT, INC.",750000,,,,,750000
bronx,HD-X051,HD,"CONS, RECON, IMPRV, SITE WK TO RESIDENTIAL & COMMER PROP, THE BRONX",0,,,,,0
brooklyn,HD-DN003,HD,"FIFTH AVENUE COMMITTEE, INC. (FAC)",518000,,,,,518000
brooklyn,HD-DN469,HD,"CAMBA",0,,,,,0
brooklyn,HD-DN487,HD,"LINDSAY PARK HOUSING CORP.",0,,,,,0
brooklyn,HD-DN495,HD,"PRATT TOWERS, INC",0,,,,,0
brooklyn,HD-DN496,HD,"RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL, INC.",2500000,,,,,2500000
brooklyn,HD-DN498,HD,"SAINT JAMES TOWERS, INC",0,,,,,0
brooklyn,HD-DN533,HD,"PRATT AREA COMMUNITY COUNCIL (PACC) INC.",0,,,,,0
brooklyn,HD-DN559,HD,"HIGHLAWN TERRACE, INC.",0,,,,,0
brooklyn,HD-DN648,HD,"BROOKLYN COMMUNITY HOUSING AND SERVICES",0,,,,,0
brooklyn,HD-DN696,HD,"AMALGAMATED WARBASSE HOUSES, INC.",0,,,,,0
brooklyn,HD-DN710,HD,"SOUTHSIDE UNITED HDFC",2500000,,,,,2500000
brooklyn,HD-DN755,HD,"RYERSON TOWERS, INC.",0,,,,,0
brooklyn,HD-DN804,HD,"NORTHEAST BROOKLYN HOUSING DEVELOPMENT CORP.",0,,,,,0
brooklyn,HD-DN839,HD,"BEC NEW COMMUNITIES HDFC INC.",0,,,,,0
brooklyn,HD-DN849,HD,"STUYPARK HOUSING COMPANY INC.",0,,,,,0
brooklyn,HD-DN861,HD,"CONTELLO TOWERS NO. 2",0,,,,,0
brooklyn,HD-DN897,HD,"KINGSBAY HOUSING COMPANY, INC",0,,,,,0
brooklyn,HD-DN901,HD,"BRIGHTON HOUSE INCORPORATED",0,,,,,0
brooklyn,HD-DN928,HD,"REGIONAL AID FOR INTERIM NEEDS",734000,,,,,734000
brooklyn,HD-DN951,HD,"CITILEAF HOUSING HDFC",400000,,,,,400000
brooklyn,HD-KN003,HD,"FIFTH AVENUE COMMITTEE, INC. (FAC)",500000,,,,,500000
brooklyn,HD-KN262,HD,"MET COUNCIL ON JEWISH POVERTY",0,,,,,0
brooklyn,HD-KN376,HD,"SELFHELP COMMUNITY SERVICES, INC - SELFHELP (KVII) HDFC",500000,,,,,500000
brooklyn,HD-KN472,HD,"CROWN GARDENS HOUSING CORPORATION",0,,,,,0
brooklyn,HD-KN480,HD,"HABITAT FOR HUMANITY",0,,,,,0
brooklyn,HD-KN525,HD,"NYC PARTNERSHIP HOUSING DEVELOPMENT FUND CORPORATION, INC.",500000,,,,,500000
brooklyn,HD-KN533,HD,"PRATT AREA COMMUNITY COUNCIL (PACC) INC.",0,,,,,0
brooklyn,HD-KN648,HD,"BROOKLYN COMMUNITY HOUSING AND SERVICES",0,,,,,0
brooklyn,HD-KN684,HD,"HUDSON GATEWAY II, LLC. - GATEWAY ELTON STREET APARTMENTS",0,,,,,0
brooklyn,HD-KN710,HD,"SOUTHSIDE UNITED HDFC",500000,,,,,500000
brooklyn,HD-KN804,HD,"NORTHEAST BROOKLYN HOUSING DEVELOPMENT CORP.",0,,,,,0
brooklyn,HD-KN861,HD,"CONTELLO TOWERS NO. 2",0,,,,,0
brooklyn,HD-KN864,HD,"LOCAL DEVELOPMENT CORPORATION OF EAST NEW YORK",0,,,,,0
brooklyn,HD-KN879,HD,"MHANY MANAGEMENT, INC. / PACIFIC LINWOOD",0,,,,,0
brooklyn,HD-KN880,HD,"HIGHLAWN TERRACE, INC.",0,,,,,0
brooklyn,HD-K051,HD,"UNALLOCATED HOUSING, BROOKLYN",0,,,,,0
brooklyn,HD-K117,HD,"CONS, RECON, IMPRV, SITE WK TO RESIDENTIAL & COMMERCIAL PROP, BROOKLYN",0,,,,,0
brooklyn,HD-161,HD,"SPRING CREEK, ASSOC. COSTS, BROOKLYN",0,,,,,0
manhattan,HD-DN081,HD,"COMMUNITY LEAGUE OF THE HEIGHTS/BULGER CENTER FOR COMMUNITY LIFE",0,,,,,0
manhattan,HD-DN125,HD,"ABRAHAM RESIDENCE III",0,,,,,0
manhattan,HD-DN170,HD,"GOOD SHEPHERD SERVICES",0,,,,,0
manhattan,HD-DN184,HD,"HEBREW HOME FOR THE AGED",728000,,,,,728000
manhattan,HD-DN235,HD,"LENOX HILL NEIGHBORHOOD ASSOCIATION",0,,,,,0
manhattan,HD-DN262,HD,"MET COUNCIL ON JEWISH POVERTY",0,,,,,0
manhattan,HD-DN471,HD,"COMMON GROUND",0,,,,,0
manhattan,HD-DN512,HD,"ASIAN AMERICANS FOR EQUALITY, INC. (AAFE)",647000,,,,,647000
manhattan,HD-DN514,HD,"GREATER HARLEM HOUSING DEVELOPMENT CORP.",100000,,,,,100000
manhattan,HD-DN525,HD,"NYC PARTNERSHIP HOUSING DEVELOPMENT FUND CORPORATION, INC.",4650000,,,,,4650000
manhattan,HD-DN529,HD,"BAILEY HOUSE",0,,,,,0
manhattan,HD-DN570,HD,"ARTSPACE PROJECTS INC.",0,,,,,0
manhattan,HD-DN625,HD,"NORTHERN MANHATTAN IMPROVEMENT CORPORATION, INC",0,,,,,0
manhattan,HD-DN752,HD,"FRANKLIN PLAZA APARTMENTS",0,,,,,0
manhattan,HD-DN787,HD,"HARLEM DOWLING WEST SIDE CENTER FOR CHILDREN AND FAMILY SERVICES, INC.",0,,,,,0
manhattan,HD-DN796,HD,"ASSOCIATION TO BENEFIT CHILDREN",0,,,,,0
manhattan,HD-DN805,HD,"WESTON UNITED COMMUNITY RENEWAL",0,,,,,0
manhattan,HD-DN850,HD,"ESPLANADE GARDENS, INC.",0,,,,,0
manhattan,HD-DN868,HD,"HOUSING PARTNERSHIP DEVELOPMENT CORPORATION",0,,,,,0
manhattan,HD-DN869,HD,"COMUNILIFE, INC. AFFORDABLE HOUSING",0,,,,,0
manhattan,HD-DN887,HD,"TRINITY WEST HARLEM PHASE TWO RANDOLPH HOUSES",0,,,,,0
manhattan,HD-DN903,HD,"SERVICES AND ADVOCACY FOR GLBT ELDERS",0,,,,,0
manhattan,HD-DN904,HD,"EL BARRIO'S OPERATION FIGHTBACK, INC.",0,,,,,0
manhattan,HD-DN906,HD,"138-152 WEST 143RD STREET HOUSING DEVELOPMENT FUND CORP.",0,,,,,0
manhattan,HD-DN930,HD,"37 AVENUE B HDFC",534000,,,,,534000
manhattan,HD-DN935,HD,"1199 HOUSING CORPORATION",2000000,,,,,2000000
manhattan,HD-MN170,HD,"GOOD SHEPHERD SERVICES",0,,,,,0
manhattan,HD-MN512,HD,"ASIAN AMERICANS FOR EQUALITY, INC. (AAFE)",0,,,,,0
manhattan,HD-MN514,HD,"GREATER HARLEM HOUSING DEVELOPMENT CORP.",100000,,,,,100000
manhattan,HD-MN525,HD,"HOUSING PARTNERSHIP DEVELOPMENT CORPORATION",0,,,,,0
manhattan,HD-MN786,HD,"RIVERBEND HOUSING COMPANY, INC.",0,,,,,0
manhattan,HD-MN803,HD,"CENTER FOR URBAN COMMUNITY SERVICES, INC.",100000,,,,,100000
manhattan,HD-MN850,HD,"ESPLANADE GARDENS, INC.",200000,,,,,200000
manhattan,HD-MN886,HD,"LEMOR REALTY CORPORATION",0,,,,,0
manhattan,HD-MN887,HD,"TRINITY WEST HARLEM PHASE TWO LIMITED PARTNERSHIP",0,,,,,0
manhattan,HD-M148,HD,"MIXED INCOME HOUSING PROGRAMS, MANHATTAN",0,,,,,0
manhattan,HD-M169,HD,"CONS,RECO,IMPRV,SITE WK TO RESIDENTIAL & COMMERCIAL PROP, MANHATTAN",0,,,,,0
manhattan,HD-M999,HD,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
queens,HD-DN170,HD,"GOOD SHEPHERD SERVICES",0,,,,,0
queens,HD-DN482,HD,"HANAC, INC.",0,,,,,0
queens,HD-DN494,HD,"PARKER JEWISH INSTITUTE",0,,,,,0
queens,HD-DN742,HD,"JAMAICA SENIOR RESIDENCE HDFC",0,,,,,0
queens,HD-DN852,HD,"DAYTON TOWERS CORPORATION",0,,,,,0
queens,HD-DN893,HD,"FIRST JAMAICA COMMUNITY AND URBAN DEVELOPMENT CORP.",500000,,,,,500000
queens,HD-DN917,HD,"THE ALI FORNEY CENTER",5900000,,,,,5900000
queens,HD-DN931,HD,"ARVERNE LIMITED-PROFIT HOUSING CORP",250000,,,,,250000
queens,HD-QN480,HD,"HABITAT FOR HUMANITY",750000,,,,,750000
queens,HD-QN482,HD,"HANAC, INC.",0,,,,,0
queens,HD-QN512,HD,"ASIAN AMERICANS FOR EQUALITY, INC.",300000,,,,,300000
queens,HD-QN525,HD,"NYC PARTNERSHIP HOUSING DEVELOPMENT FUND CORPORATION, INC.",500000,,,,,500000
queens,HD-QN893,HD,"FIRST JAMAICA COMMUNITY AND URBAN DEVELOPMENT CORP.",1000000,,,,,1000000
queens,HD-QN917,HD,"THE ALI FORNEY CENTER",500000,,,,,500000
queens,HD-Q001,HD,"ARVERNE URBAN RENEWAL AREA, QUEENS",0,,,,,0
queens,HD-153,HD,"EDGEMERE, ASSOC. COSTS, QUEENS",0,,,,,0
queens,HD-211,HD,"QUEENS WEST",0,,0,,,0
richmond,HD-R130,HD,"SMALL HOMES RECON LOANS, PRIVATE SMALL RESIDENTIAL BLDGS, STATEN ISLAN",0,,,,,0
citywide,HH-DN336,HH,"PROJECT RENEWAL",0,,,,,0
citywide,HH-D025,HH,"RECONSTRUCTION AND IMPROVEMENTS TO SHELTERS, CITYWIDE",0,,,,,0
citywide,HH-D112,HH,"NEW SHELTERS FOR THE HOMELESS, CITYWIDE",275000,,,,,275000
citywide,HH-105,HH,"PURCHASE OF EQUIPMENT FOR USE BY THE DEPARTMENT OF HOMELESS SERVICES",16983000,,0,0,,16983000
citywide,HH-112,HH,"CONGREGATE FACILITIES FOR HOMELESS SINGLE ADULTS",11729000,,0,,,11729000
citywide,HH-115,HH,"CONGREGATE FACILITIES FOR HOMELESS FAMILIES",10887000,,0,,,10887000
brooklyn,HH-KN919,HH,"URBAN RESOURCE INSTITUTE",100000,,,,,100000
manhattan,HH-DN106,HH,"COALITION FOR THE HOMELESS",795000,,,,,795000
manhattan,HH-DN701,HH,"WOMEN IN NEED (WIN)",0,,,,,0
manhattan,HH-DN845,HH,"NEW YORK CITY RESCUE MISSION",0,,,,,0
manhattan,HH-MN701,HH,"THE WOMEN IN NEED (WIN).",0,,,,,0
manhattan,HH-M112,HH,"CONGREGATE FACILITIES FOR HOMELESS SINGLE ADULTS",75000,,,,,75000
citywide,HL-DN622,HL,"FOREST HILLS HOSPITAL - NORTHWELL HEALTH",91000,,,,,91000
citywide,HL-D001,HL,"IMPROVEMENTS FOR DEPARTMENT OF HEALTH, CITYWIDE",650000,,,,,650000
citywide,HL-D083,HL,"IMPROVEMENTS TO MEDICAL EXAMINER FACILITIES, CITYWIDE",0,,,,,0
citywide,HL-D089,HL,"PURCHASE EQUIPMENT FOR USE BY THE DEPT. OF HEALTH, CITYWIDE",0,,,,,0
citywide,HL-D998,HL,"CITY COUNCIL FUNDING FOR NON-CITY OWNED PROJECTS, EQUIPMENT",0,,,,,0
citywide,HL-D999,HL,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
citywide,HL-82,HL,"IMPROVEMENTS TO HEALTH FACILITIES, CITYWIDE",0,,0,564000,,564000
citywide,HL-83,HL,"IMPROVEMENTS TO MEDICAL EXAMINER FACILITIES, CITYWIDE",0,,0,,,0
bronx,HL-DN014,HL,"ALBERT EINSTEIN COLLEGE OF MEDICINE",0,,,,,0
bronx,HL-DN146,HL,"NEW ALTERNATIVES FOR CHILDREN (NAC) INC.",0,,,,,0
bronx,HL-DN269,HL,"MORRIS HEIGHTS HEALTH CENTER",0,,,,,0
bronx,HL-DN363,HL,"ST. BARNABAS HOSPITAL",0,,,,,0
bronx,HL-DN440,HL,"URBAN HEALTH PLAN, INC",3889000,,,,,3889000
bronx,HL-DN762,HL,"UNION COMMUNITY HEALTH CENTER, INC.",409000,,,,,409000
bronx,HL-XN084,HL,"CALLEN-LORDE COMMUNITY HEALTH CENTER",0,,,,,0
bronx,HL-XN267,HL,"MONTEFIORE HOSPITAL",0,,,,,0
bronx,HL-XN406,HL,"CATHOLIC MANAGED LONG TERM CARE (D/B/A ARCHCARE SENIOR LIFE)",0,,,,,0
bronx,HL-XN735,HL,"UNION COMMUNITY HEALTH CENTER, INC.",0,,,,,0
brooklyn,HL-DN045,HL,"BEDFORD STUYVESANT FAMILY HEALTH CENTER INC.",0,,,,,0
brooklyn,HL-DN050,HL,"BETH ISRAEL MEDICAL CENTER",0,,,,,0
brooklyn,HL-DN073,HL,"BROOKLYN HOSPITAL CENTER",0,,,,,0
brooklyn,HL-DN105,HL,"CNR HEALTH CARE NETWORK",0,,,,,0
brooklyn,HL-DN107,HL,"COBBLE HILL HEALTH CENTER",0,,,,,0
brooklyn,HL-DN168,HL,"BROOKDALE MEDICAL CENTER",0,,,,,0
brooklyn,HL-DN206,HL,"JEWISH BRAILE INSTITUTE INTERNATIONAL INC.",0,,,,,0
brooklyn,HL-DN228,HL,"KINGSBROOK JEWISH MEDICAL CENTER",1428000,,,,,1428000
brooklyn,HL-DN252,HL,"LUTHERAN   MEDICAL CENTER",0,,,,,0
brooklyn,HL-DN254,HL,"MAIMONIDES MEDICAL CENTER",810000,,,,,810000
brooklyn,HL-DN321,HL,"OTSAR FAMILY SERVICES",0,,,,,0
brooklyn,HL-DN377,HL,"SEPHARDIC ADDICTION AND FAMILY EDUCATION FOUNDATION INC. (SAFE)",0,,,,,0
brooklyn,HL-DN457,HL,"YATZKAN CENTER",0,,,,,0
brooklyn,HL-DN562,HL,"NEW YORK METHODIST HOSPITAL",300000,,,,,300000
brooklyn,HL-DN775,HL,"ODA PRIMARY HEALTH CARE NETWORK",250000,,,,,250000
brooklyn,HL-DN808,HL,"HATZOLAH INCORPORATED",490000,,,,,490000
brooklyn,HL-DN881,HL,"INSTITUTE FOR COMMUNITY LIVING INC.",0,,,,,0
brooklyn,HL-DN908,HL,"WOMEN'S LEAGUE COMMUNITY RESIDENCES",0,,,,,0
brooklyn,HL-DN938,HL,"CENTER FOR THE ELIMINATION OF VIOLENCE IN THE FAMILY",450000,,,,,450000
brooklyn,HL-KN073,HL,"BROOKLYN HOSPITAL CENTER",0,,,,,0
brooklyn,HL-KN078,HL,"BROWNSVILLE COMMUNITY DEVELOPMENT CORPORATION",0,,,,,0
brooklyn,HL-KN168,HL,"THE BROOKDALE HOSPITAL MEDICAL CENTER",0,,,,,0
brooklyn,HL-KN201,HL,"NEW YORK BLOOD CENTER",0,,,,,0
brooklyn,HL-KN228,HL,"KINGSBROOK JEWISH MEDICAL CENTER",48000,,,,,48000
brooklyn,HL-KN254,HL,"MAIMONIDES MEDICAL CENTER",366000,,,,,366000
brooklyn,HL-KN328,HL,"PLANNED PARENTHOOD OF NEW YORK CITY",0,,,,,0
brooklyn,HL-KN561,HL,"COMMUNITY HEALTHCARE NETWORK, INC.",0,,,,,0
brooklyn,HL-KN562,HL,"NEW YORK METHODIST HOSPITAL",204000,,,,,204000
brooklyn,HL-KN638,HL,"STATE UNIVERSITY OF NEW YORK - ALZHEIMER'S DISEASE ASSISTANCE CENTER",0,,,,,0
brooklyn,HL-KN775,HL,"ODA PRIMARY HEALTH CARE NETWORK",0,,,,,0
brooklyn,HL-KN823,HL,"START TREATMENT & RECOVERY CENTERS",0,,,,,0
brooklyn,HL-KN863,HL,"THE FAMILY CENTER, INC.",0,,,,,0
brooklyn,HL-KN881,HL,"INSTITUTE FOR COMMUNITY LIVING, INC.",0,,,,,0
brooklyn,HL-KN920,HL,"BRIDGING ACCESS TO CARE",44000,,,,,44000
brooklyn,HL-KN938,HL,"CENTER FOR THE ELIMINATION OF VIOLENCE IN THE FAMILY",154000,,,,,154000
brooklyn,HL-K001,HL,"IMPROVEMENTS TO DEPARTMENT OF HEALTH BUILDINGS, BROOKLYN",0,,,,,0
brooklyn,HL-K999,HL,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
manhattan,HL-DN020,HL,"AMERICAN CANCER SOCIETY",0,,,,,0
manhattan,HL-DN023,HL,"AMERICAN RED CROSS IN GREATER NEW YORK",0,,,,,0
manhattan,HL-DN049,HL,"NYU SCHOOL OF MEDICINE",0,,,,,0
manhattan,HL-DN084,HL,"CALLEN-LORDE COMMUNITY HEALTH CENTER",1479000,,,,,1479000
manhattan,HL-DN108,HL,"COLUMBIA UNIVERSITY MEDICAL CENTER",0,,,,,0
manhattan,HL-DN135,HL,"EAST HARLEM HEALTH CENTER",0,,,,,0
manhattan,HL-DN163,HL,"SINERGIA",0,,,,,0
manhattan,HL-DN164,HL,"WILLIAM F. RYAN COMMUNITY HEALTH CENTER",0,,,,,0
manhattan,HL-DN189,HL,"HOSP. FOR SPECIAL SURGERY/NY SOCIETY FOR RELIEF OF RUPTURED & CRIPPLED",0,,,,,0
manhattan,HL-DN201,HL,"NEW YORK BLOOD CENTER",375000,,,,,375000
manhattan,HL-DN271,HL,"MOUNT SINAI ADOLESCENT HEALTH CENTER",0,,,,,0
manhattan,HL-DN273,HL,"MOUNT SINAI HOSPITAL",869000,,,,,869000
manhattan,HL-DN295,HL,"NEW YORK ACADEMY OF MEDICINE",0,,,,,0
manhattan,HL-DN308,HL,"NEW YORK UNIVERSITY COLLEGE OF DENTISTRY",586000,,,,,586000
manhattan,HL-DN328,HL,"PLANNED PARENTHOOD OF NEW YORK CITY",446000,,,,,446000
manhattan,HL-DN336,HL,"PROJECT RENEWAL",0,,,,,0
manhattan,HL-DN357,HL,"RUSK INSTITUTE OF REHABILITATION MEDICINE",0,,,,,0
manhattan,HL-DN359,HL,"RYAN/CHELSEA-CLINTON COMMUNITY HEALTH CENTER",0,,,,,0
manhattan,HL-DN406,HL,"CATHOLIC MANAGED LONG TERM CARE (D/B/A ARCHCARE SENIOR LIFE)",0,,,,,0
manhattan,HL-DN530,HL,"AIDS SERVICE CENTER OF LOWER MANHATTAN, INC.",165000,,,,,165000
manhattan,HL-DN561,HL,"COMMUNITY HEALTHCARE NETWORK",0,,,,,0
manhattan,HL-DN563,HL,"NYU HOSPITALS CENTER",0,,,,,0
manhattan,HL-DN564,HL,"PRIMARY CARE HEALTH INFORMATION CONS",0,,,,,0
manhattan,HL-DN652,HL,"NEW YORK PRESBYTERIAN HOSPITAL",0,,,,,0
manhattan,HL-DN782,HL,"CORNELL UNIVERSITY FOR AND ON BEHALF OF WEILL CORNELL MEDICAL COLLEGE",0,,,,,0
manhattan,HL-DN783,HL,"THE INSTITUTE FOR FAMILY HEALTH, INC.",0,,,,,0
manhattan,HL-DN788,HL,"LOWER EASTSIDE SERVICE CENTER, INC. (LESC)",0,,,,,0
manhattan,HL-DN795,HL,"APICHA COMMUNITY HEALTH CENTER",0,,,,,0
manhattan,HL-DN809,HL,"MEDICARE RIGHTS CENTER",0,,,,,0
manhattan,HL-DN810,HL,"HOSP. FOR SPECIAL SURGERY/NY SOCIETY FOR RELIEF OF RUPTURED & CRIPPLED",477000,,,,,477000
manhattan,HL-DN907,HL,"PHS PUBLIC HEALTH SOLUTIONS",264000,,,,,264000
manhattan,HL-DN909,HL,"LENOX HILL HOSPITAL",648000,,,,,648000
manhattan,HL-DN924,HL,"EDWIN GOULD SERVICES FOR CHILDREN AND FAMILIES",187000,,,,,187000
manhattan,HL-MN084,HL,"CALLEN-LORDE COMMUNITY HEALTH CENTER",0,,,,,0
manhattan,HL-MN284,HL,"NATIONAL ASSOCIATION ON DRUG ABUSE PROBLEMS, INC. (NADAP)",0,,,,,0
manhattan,HL-MN328,HL,"PLANNED PARENTHOOD OF NEW YORK CITY",0,,,,,0
manhattan,HL-MN370,HL,"SAMARITAN VILLAGE, INC",0,,,,,0
manhattan,HL-MN530,HL,"AIDS SERVICE CENTER OF LOWER MANHATTAN, INC.",0,,,,,0
manhattan,HL-MN652,HL,"THE NEW YORK AND PRESBYTERIAN HOSPITAL",0,,,,,0
manhattan,HL-MN788,HL,"LOWER EASTSIDE SERVICE CENTER, INC. (LESC)",0,,,,,0
manhattan,HL-MN830,HL,"ADDICTION RESEARCH AND TREATMENT CORPORATION",0,,,,,0
manhattan,HL-M001,HL,"IMPROVEMENTS TO DEPARTMENT OF HEALTH BUILDINGS, MANHATTAN",0,,,,,0
queens,HL-DN025,HL,"EPISCOPAL HEALTH SERVICES INC. D/B/A ST. JOHN'S EPISCOPAL HOSPITAL.",369000,,,,,369000
queens,HL-DN036,HL,"ASSOCIATION FOR THE ADVANCEMENT OF THE BLIND AND RETARDED",0,,,,,0
queens,HL-DN202,HL,"JAMAICA HOSPITAL MEDICAL CENTER",0,,,,,0
queens,HL-DN273,HL,"MOUNT SINAI HOSPITAL",869000,,,,,869000
queens,HL-DN305,HL,"NEW YORK HOSPITAL QUEENS",0,,,,,0
queens,HL-DN316,HL,"NEW YORK FAMILIES FOR AUTISTIC CHILDREN",500000,,,,,500000
queens,HL-DN367,HL,"ST. MARY'S HEALTHCARE SYSTEM FOR CHILDREN",54000,,,,,54000
queens,HL-DN370,HL,"SAMARITAN VILLAGE, INC",0,,,,,0
queens,HL-DN565,HL,"FLUSHING HOSPITAL",0,,,,,0
queens,HL-DN623,HL,"LONG ISLAND JEWISH MEDICAL CENTER - NORTHWELL HEALTH",280000,,,,,280000
queens,HL-DN732,HL,"TRANSITIONAL SERVICES FOR NEW YORK, INC.",0,,,,,0
queens,HL-DN915,HL,"THE JOSEPH P. ADDABBO FAMILY HEALTH CENTER, INC.",1000000,,,,,1000000
queens,HL-QN025,HL,"EPISCOPAL HEALTH SERVICES INC. D/B/A ST. JOHN'S EPISCOPAL HOSPITAL.",308000,,,,,308000
queens,HL-QN201,HL,"NEW YORK BLOOD CENTER",0,,,,,0
queens,HL-QN202,HL,"JAMAICA HOSPITAL MEDICAL CENTER",167000,,,,,167000
queens,HL-QN273,HL,"MOUNT SINAI HOSPITAL",348000,,,,,348000
queens,HL-QN305,HL,"NEW YORK HOSPITAL QUEENS",0,,,,,0
queens,HL-QN316,HL,"NEW YORK FAMILIES FOR AUTISTIC CHILDREN",1000000,,,,,1000000
queens,HL-QN328,HL,"PLANNED PARENTHOOD OF NEW YORK CITY",0,,,,,0
queens,HL-QN367,HL,"ST. MARY'S HEALTHCARE SYSTEM FOR CHILDREN",75000,,,,,75000
queens,HL-QN561,HL,"COMMUNITY HEALTHCARE NETWORK INC.",1025000,,,,,1025000
queens,HL-QN565,HL,"FLUSHING HOSPITAL",175000,,,,,175000
queens,HL-QN622,HL,"FOREST HILLS HOSPITAL - NORTHWELL HEALTH",498000,,,,,498000
queens,HL-QN623,HL,"LONG ISLAND JEWISH MEDICAL CENTER - NORTHWELL HEALTH",342000,,,,,342000
queens,HL-QN732,HL,"TRANSITIONAL SERVICES FOR NEW YORK, INC.",0,,,,,0
queens,HL-QN915,HL,"THE JOSEPH P. ADDABBO FAMILY HEALTH CENTER, INC.",3000000,,,,,3000000
queens,HL-QN916,HL,"THE FLOATING HOSPITAL",56000,,,,,56000
queens,HL-Q001,HL,"MASPETH CHILD HEALTH CENTER, QUEENS",0,,,,,0
richmond,HL-DN140,HL,"EDEN II SCHOOL FOR AUTISTIC CHILDREN, INC.",0,,,,,0
richmond,HL-DN346,HL,"RICHMOND UNIVERSITY MEDICAL CENTER",13580000,,,,,13580000
richmond,HL-DN404,HL,"STATEN ISLAND UNIVERSITY HOSPITAL",295000,,,,,295000
richmond,HL-RN029,HL,"COMMUNITY RESOURCES, INC.",0,,,,,0
richmond,HL-RN140,HL,"EDEN II SCHOOL FOR AUTISTIC CHILDREN, INC.",40000,,,,,40000
richmond,HL-RN346,HL,"RICHMOND UNIVERSITY MEDICAL CENTER",0,,,,,0
richmond,HL-RN404,HL,"STATEN ISLAND UNIVERSITY HOSPITAL",2902000,,,,,2902000
richmond,HL-RN406,HL,"CATHOLIC MANAGED LONG TERM CARE (D/B/A ARCHCARE SENIOR LIFE)",0,,,,,0
richmond,HL-R001,HL,"IMPROVEMENTS TO DEPARTMENT OF HEALTH BUILDINGS, STATEN ISLAND",0,,,,,0
citywide,HN-C002,HN,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, CITYWIDE",0,,,,,0
citywide,HN-C004,HN,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, CITYWIDE",0,,,0,,0
citywide,HN-C005,HN,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, CITYWIDE",0,,,,,0
citywide,HN-D002,HN,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, CITYWIDE",22587000,,,,,22587000
citywide,HN-D003,HN,"PURCHASE OF ELECTRONIC DATA PROCESSING EQUIPMENT, COMMUNITY COLLEGES",0,,,,,0
citywide,HN-D004,HN,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, CITYWIDE",1835000,,,,,1835000
citywide,HN-D005,HN,"CITY COUNCIL FUNDING FOR SITE ACQUISITION, CONSTRUCTION, RECONSTRUCTIO",0,,,,,0
citywide,HN-D300,HN,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, CITYWIDE",26316000,,,,,26316000
citywide,HN-206,HN,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, CITYWIDE",51638000,,0,0,0,51638000
citywide,HN-300,HN,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, CITYWIDE",0,,,,,0
bronx,HN-X001,HN,"PURCHASE OF EDP EQUIPMENT, COMMUNITY COLLEGES, BRONX",0,,,,,0
bronx,HN-X002,HN,"COMMUNITY COLLEGES IMPROVEMENTS, BRONX",1700000,,,,,1700000
bronx,HN-X003,HN,"EQUIPMENT-COMMUNITY COLLEGES, BRONX",0,,,,,0
bronx,HN-X004,HN,"LEHMAN COLLEGE: RECONSTRUCT CAMPUS FACILITIES, THE BRONX",0,,,,,0
bronx,HN-X005,HN,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, THE BRONX",0,,,,,0
bronx,HN-X300,HN,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, THE BRONX",432000,,,,,432000
